"id, name, release year, developer, publisher, img_url, src_url, genres, description"
7000,"$100,000 Pyramid",1987,[Craig Carlson[1]],[The Box Office],n/a,"[https://en.wikipedia.org/wiki/$100,000_Pyramid_(video_game)]",n/a,No description for this title
7001,221B Baker Street,1986,[Datasoft],[Datasoft],https://en.wikipedia.org/wiki/File:221B_Baker_St._Coverart.png,[https://en.wikipedia.org/wiki/221B_Baker_Street_(video_game)],Board game,"221B Baker Street is a 1986 computer game published by Datasoft, based on an earlier board game of the same name.  The game was inspired by the exploits of Arthur Conan Doyle's fictional detective Sherlock Holmes and derives its title from the detective's residence at 221B Baker Street in London. The original board game was created and copyrighted by American writer Jay Moriarty (dba Antler Productions) in 1975."
7002,2400 A.D.,1987,[Chuck Bueche[1]],[Origin Systems],https://en.wikipedia.org/wiki/File:2400_A.D._Coverart.png,[https://en.wikipedia.org/wiki/2400_A.D.],Adventure,"2400 A.D. is a role-playing video game designed by Chuck Bueche and published by Origin Systems in 1988. It was originally released for the Apple II with a version for IBM PC compatibles later the same year. Poor sales resulted in the cancellation of both a Commodore 64 port and a sequel, 2500 A.D."
7003,3 in 1 College & Pro Football,1984,[Lance Haffner],[Lance Haffner Games],https://en.wikipedia.org/wiki/File:3_in_1_College_%26_Pro_Football.jpg,[https://en.wikipedia.org/wiki/3_in_1_College_%26_Pro_Football],n/a,3 in 1 College & Pro Football is a 1984 video game published by Lance Haffner Games.
7004,3-D Docking Mission,1978,[Chris Oberth],[Programma International/The Elektrik Keyboard],https://en.wikipedia.org/wiki/File:3-D_Docking_Mission.png,[https://en.wikipedia.org/wiki/3-D_Docking_Mission],Simulation,"3-D Docking Mission is a simulation game for the Apple II written by Chris Oberth. The game was published by Programma International and The Elektrik Keyboard of Chicago, Illinois in 1978."
7005,50 Mission Crush,1984,[John Gray],[Strategic Simulations],https://en.wikipedia.org/wiki/File:50_Mission_Crush_cover.jpg,[https://en.wikipedia.org/wiki/50_Mission_Crush],Role-playing video game,"50 Mission Crush (sometimes Fifty Mission Crush) is a turn-based strategy game published in 1984 by Strategic Simulations (SSI) that simulates the career of the crew of a B-17 Flying Fortress bomber during World War II.  The bomber is based out of the RAF Thurleigh base just north of London, and is part of the 8th Air Force. While most of SSI's games emphasized long-term strategic planning, 50 Mission Crush was marketed explicitly for its quick, comparatively fast pace: each mission takes no more than about 10 minutes. SSI described it as a ""role-playing game""."
7006,4th & Inches,1988,[Bob Whitehead[1]],[Accolade],https://en.wikipedia.org/wiki/File:4th_%26_Inches_Cover.png,[https://en.wikipedia.org/wiki/4th_%26_Inches],Sports,"4th & Inches is an American football sports game by Accolade.  It was released for the Commodore 64 in 1987 and ported to Apple IIGS, MS-DOS, Amiga, and Mac OS by Sculptured Software in 1988. It was designed by Accolade co-founder, Bob Whitehead. An expansion pack, Team Construction Disk, was released in 1988."
7007,ABM,1980,[Silas Warner[1]],[Muse Software],https://en.wikipedia.org/wiki/File:ABM_cover.jpg,[https://en.wikipedia.org/wiki/ABM_(video_game)],Shoot 'em up,"ABM (standing for Anti-Ballistic Missile) is a clone of Atari, Inc.'s Missile Command arcade game for the 32K Apple II. It was programmed by Silas Warner and published by Muse Software in 1980."
7008,Accolade's Comics,1987,[Accolade],[Accolade],https://en.wikipedia.org/wiki/File:Accolade_Comics.png,[https://en.wikipedia.org/wiki/Accolade%27s_Comics],Adventure,"Accolade's Comics (or Accolade Comics in the game) is an adventure game released in 1987. Published by Accolade and developed by Distinctive Software, the game intersperses arcade-style games into its plot."
7009,Adventure,1985,[John Rausch],[John Rausch],https://en.wikipedia.org/wiki/File:ADVENT_--_Crowther_Woods.png,[https://en.wikipedia.org/wiki/Colossal_Cave_Adventure],Adventure game,"Colossal Cave Adventure (also known as ADVENT, Colossal Cave, or Adventure) is a text adventure game, developed between 1975 and 1977 by Will Crowther for the PDP-10 mainframe. The game was expanded upon in 1977 with help from Don Woods, and other programmers created variations on the game and ports to other systems in the following years. In the game, the player controls a character through simple text commands to explore a cave rumored to be filled with wealth. Players earn predetermined points for acquiring treasure and escaping the cave alive, with the goal to earn the maximum number of points offered. The concept bore out from Crowther's background as a caving enthusiast, with the game's cave structured loosely around the Mammoth Cave system in Kentucky.Colossal Cave Adventure is the first known work of interactive fiction and, as the first text adventure game, is considered the precursor for the adventure game genre. Colossal Cave Adventure also contributed towards the role-playing and roguelike genres."
7010,Adventure Construction Set,1985,[Stuart Smith],[Electronic Arts],https://en.wikipedia.org/wiki/File:Adventure_construction_set.jpg,[https://en.wikipedia.org/wiki/Adventure_Construction_Set],Adventure/game creation system,"Adventure Construction Set (ACS) is a computer game creation system written by Stuart Smith that is used to construct tile-based graphical adventure games.  ACS was originally published by Electronic Arts (EA) in 1984 on the Commodore 64, and was later ported to the Apple II, Amiga, and MS-DOS.  It was one of EA's biggest hits of 1985, earning a Software Publishers Association ""Gold Disk"" award. ACS provides a graphical editor for the construction of maps, placement of creatures and items, and a simple menu-based scripting to control game logic.  A constructed game is stored on its own disk which can be copied and shared with friends. For some ports (such as Amiga) the ACS software is still needed to play user-constructed games. Included with the system is a complete game, Rivers of Light, based on the Epic of Gilgamesh. It features art by Smith and Connie Goldman and music by Dave Warhol. The Amiga version of ACS has art by Greg Johnson and Avril Harrison and an additional pre-made adventure called ""Galactic Agent"" by Ken St Andre. Titles influenced by ACS include The Elder Scrolls Construction Set. Project lead Todd Howard had stated, ""When we started Morrowind, I was really excited about making a tool like 'Stuart Smith's Adventure Construction Set for the Apple 2'. I even used part of the name."""
