"id, name, release year, developer, publisher, img_url, src_url, genres, description"
1000,The 11th Hour,1997,[Trilobyte],[Trilobyte],https://en.wikipedia.org/wiki/File:The_11th_Hour_Coverart.png,[https://en.wikipedia.org/wiki/The_11th_Hour_(video_game)],puzzle adventure,The 11th Hour is a 1995 interactive movie puzzle adventure game with a horror setting. It is the sequel to the 1993 game The 7th Guest.  
1002,3-D Ultra NASCAR Pinball,1999,[Sierra On-Line],[Sierra On-Line],n/a,[https://en.wikipedia.org/wiki/3-D_Ultra_Pinball],Arcade,"3-D Ultra Pinball is a series of pinball computer games developed by Sierra Entertainment's Dynamix.  The games try to escape from the traditional, arcade pinball and feature animation, more than one table at once,  and ""temporary targets""(such as spaceships, goblins and dinosaurs appearing throughout the table)."
1003,3-D Ultra Pinball,1995,[Sierra On-Line],[Sierra On-Line],n/a,[https://en.wikipedia.org/wiki/3-D_Ultra_Pinball],Arcade,"3-D Ultra Pinball is a series of pinball computer games developed by Sierra Entertainment's Dynamix.  The games try to escape from the traditional, arcade pinball and feature animation, more than one table at once,  and ""temporary targets""(such as spaceships, goblins and dinosaurs appearing throughout the table)."
1004,3-D Ultra Pinball: Creep Night,1996,[Sierra On-Line],[Sierra On-Line],n/a,[https://en.wikipedia.org/wiki/3-D_Ultra_Pinball],Arcade,"3-D Ultra Pinball is a series of pinball computer games developed by Sierra Entertainment's Dynamix.  The games try to escape from the traditional, arcade pinball and feature animation, more than one table at once,  and ""temporary targets""(such as spaceships, goblins and dinosaurs appearing throughout the table)."
1005,3-D Ultra Pinball: The Lost Continent,1997,[Sierra On-Line],[Sierra On-Line],n/a,[https://en.wikipedia.org/wiki/3-D_Ultra_Pinball],Arcade,"3-D Ultra Pinball is a series of pinball computer games developed by Sierra Entertainment's Dynamix.  The games try to escape from the traditional, arcade pinball and feature animation, more than one table at once,  and ""temporary targets""(such as spaceships, goblins and dinosaurs appearing throughout the table)."
1006,3-D Ultra Pinball: Power!,2000,[Sierra On-Line],[Sierra On-Line],n/a,[https://en.wikipedia.org/wiki/3-D_Ultra_Pinball],Arcade,"3-D Ultra Pinball is a series of pinball computer games developed by Sierra Entertainment's Dynamix.  The games try to escape from the traditional, arcade pinball and feature animation, more than one table at once,  and ""temporary targets""(such as spaceships, goblins and dinosaurs appearing throughout the table)."
1007,3-D Ultra Pinball: Thrillride,2000,[Sierra On-Line],[Sierra On-Line],n/a,[https://en.wikipedia.org/wiki/3-D_Ultra_Pinball],Arcade,"3-D Ultra Pinball is a series of pinball computer games developed by Sierra Entertainment's Dynamix.  The games try to escape from the traditional, arcade pinball and feature animation, more than one table at once,  and ""temporary targets""(such as spaceships, goblins and dinosaurs appearing throughout the table)."
1008,4-D Boxing,1991,[Distinctive Software],[Distinctive Software],https://en.wikipedia.org/wiki/File:4D_Sports_Boxing_cover.png,[https://en.wikipedia.org/wiki/4-D_Boxing],Sports,"This is a list of video games for the Nintendo Switch video game console that have sold or shipped at least one million copies. As Nintendo shares the sales of their video games every quarter while most other publishers do not share sales figures per console, this list consists mostly of Nintendo-published titles. By September 30, 2020, over 456.49 million total copies of games had been sold for the Switch."
1009,4x4 EVO,2000,[Gathering of Developers],[Gathering of Developers],https://en.wikipedia.org/wiki/File:4x4_Evolution_DC.jpg,[https://en.wikipedia.org/wiki/4x4_EVO],n/a,"4x4 EVO 2, also known as 4x4 Evolution 2, is a racing video game developed by Terminal Reality for the PlayStation 2, Xbox, GameCube and Microsoft Windows. It is the sequel to 4x4 Evolution and features more trucks, and more racing tracks than the original game. The courses are primarily in extreme environments such as deserts, canyons, and other off-road locales."
1010,4x4 EVO 2,2002,[Aspyr Media],[Aspyr Media],https://en.wikipedia.org/wiki/File:4x4_EVO_2_Coverart.png,[https://en.wikipedia.org/wiki/4x4_EVO_2],Racing,"4x4 EVO 2, also known as 4x4 Evolution 2, is a racing video game developed by Terminal Reality for the PlayStation 2, Xbox, GameCube and Microsoft Windows. It is the sequel to 4x4 Evolution and features more trucks, and more racing tracks than the original game. The courses are primarily in extreme environments such as deserts, canyons, and other off-road locales. Players are allowed to customize their vehicle to their liking with a variety of engines, suspensions, wheels, tires, and other aftermarket parts and modifications. Despite the PlayStation 2 version of this game being developed in North America by Terminal Reality (in the United States particularly), it was exclusively released in Europe for unknown reasons, unlike all their other titles released for the system. The Mac and GameCube versions, on the other hand, were exclusively released in North America.  "
